Id,ActivityHour,Calories
1503960366,2016-04-12,81
1503960366,2016-04-12,61
1503960366,2016-04-12,59
1503960366,2016-04-12,47
1503960366,2016-04-12,48
1503960366,2016-04-12,48
1503960366,2016-04-12,48
1503960366,2016-04-12,47
1503960366,2016-04-12,68
1503960366,2016-04-12,141
1503960366,2016-04-12,99
1503960366,2016-04-12,76
1503960366,2016-04-12,73
1503960366,2016-04-12,66
1503960366,2016-04-12,110
1503960366,2016-04-12,151
1503960366,2016-04-12,76
1503960366,2016-04-12,83
1503960366,2016-04-12,124
1503960366,2016-04-12,104
1503960366,2016-04-12,132
1503960366,2016-04-12,100
1503960366,2016-04-12,65
1503960366,2016-04-12,81
1503960366,2016-04-13,69
1503960366,2016-04-13,48
1503960366,2016-04-13,47
1503960366,2016-04-13,53
1503960366,2016-04-13,47
1503960366,2016-04-13,47
1503960366,2016-04-13,48
1503960366,2016-04-13,59
1503960366,2016-04-13,69
1503960366,2016-04-13,136
1503960366,2016-04-13,77
1503960366,2016-04-13,84
1503960366,2016-04-13,82
1503960366,2016-04-13,72
1503960366,2016-04-13,128
1503960366,2016-04-13,79
1503960366,2016-04-13,71
1503960366,2016-04-13,87
1503960366,2016-04-13,118
1503960366,2016-04-13,73
1503960366,2016-04-13,47
1503960366,2016-04-13,48
1503960366,2016-04-13,74
1503960366,2016-04-13,135
1503960366,2016-04-14,56
1503960366,2016-04-14,54
1503960366,2016-04-14,47
1503960366,2016-04-14,47
1503960366,2016-04-14,47
1503960366,2016-04-14,47
1503960366,2016-04-14,47
1503960366,2016-04-14,47
1503960366,2016-04-14,47
1503960366,2016-04-14,93
1503960366,2016-04-14,109
1503960366,2016-04-14,64
1503960366,2016-04-14,85
1503960366,2016-04-14,137
1503960366,2016-04-14,113
1503960366,2016-04-14,66
1503960366,2016-04-14,88
1503960366,2016-04-14,61
1503960366,2016-04-14,72
1503960366,2016-04-14,55
1503960366,2016-04-14,91
1503960366,2016-04-14,174
1503960366,2016-04-14,79
1503960366,2016-04-14,50
1503960366,2016-04-15,60
1503960366,2016-04-15,58
1503960366,2016-04-15,59
1503960366,2016-04-15,47
1503960366,2016-04-15,47
1503960366,2016-04-15,49
1503960366,2016-04-15,47
1503960366,2016-04-15,49
1503960366,2016-04-15,54
1503960366,2016-04-15,50
